Date,Open,High,Low,Close,Adj Close,Volume,DayN,Year,Month,Date,Day
25/11/2020,7147.669922,7225.470215,7135.379883,7210.930176,7210.930176,40377600,232,2020,11,25,2
26/11/2020,7211.25,7228.649902,7183.640137,7218.470215,7218.470215,21281200,233,2020,11,26,3
27/11/2020,7226.97998,7258.839844,7169.850098,7224.700195,7224.700195,25010800,234,2020,11,27,4
30/11/2020,7223.75,7223.75,7127.799805,7184.75,7184.75,34187800,235,2020,11,30,0
01/12/2020,7184.649902,7283.47998,7158.919922,7229.799805,7229.799805,42527500,236,2020,12,1,1
02/12/2020,7228.830078,7228.830078,7135.040039,7193.419922,7193.419922,30521700,237,2020,12,2,2
03/12/2020,7194,7405.870117,7154.100098,7339.810059,7339.810059,31821400,238,2020,12,3,3
04/12/2020,7340.009766,7513.109863,7339.580078,7513.109863,7513.109863,48701500,239,2020,12,4,4
07/12/2020,7516.100098,7516.100098,7411.75,7471.529785,7471.529785,30447200,240,2020,12,7,0
08/12/2020,7471.529785,7488.879883,7411.899902,7476.450195,7476.450195,30585100,241,2020,12,8,1
09/12/2020,7476.549805,7500.450195,7413.129883,7427.279785,7427.279785,21199300,242,2020,12,9,2
10/12/2020,7427.430176,7452.350098,7353.330078,7399.419922,7399.419922,33656600,243,2020,12,10,3
11/12/2020,7399.569824,7399.569824,7285.850098,7314.790039,7314.790039,20439900,244,2020,12,11,4
14/12/2020,7315.399902,7487.990234,7315.399902,7396.379883,7396.379883,35747400,245,2020,12,14,0
15/12/2020,7395.330078,7422.450195,7373.25,7398.200195,7398.200195,17500000,246,2020,12,15,1
16/12/2020,7397.899902,7508.370117,7397.899902,7457.069824,7457.069824,27157300,247,2020,12,16,2
17/12/2020,7456.709961,7527.259766,7396.390137,7423.899902,7423.899902,19128500,248,2020,12,17,3
18/12/2020,7425.080078,7468.580078,7253.939941,7423.990234,7423.990234,30066100,249,2020,12,18,4
21/12/2020,7423.990234,7423.990234,7168.459961,7302.060059,7302.060059,23461400,250,2020,12,21,0
22/12/2020,7302.709961,7372.220215,7296.240234,7347.569824,7347.569824,23902800,251,2020,12,22,1
23/12/2020,7347.640137,7474.660156,7347.640137,7474.660156,7474.660156,15637800,252,2020,12,23,2
24/12/2020,7479.350098,7500.740234,7424.160156,7455.759766,7455.759766,5413900,253,2020,12,24,3
29/12/2020,7456.459961,7558.009766,7451.959961,7552.899902,7552.899902,18235400,254,2020,12,29,1
30/12/2020,7553.870117,7584.459961,7525.02002,7531.529785,7531.529785,10682100,255,2020,12,30,2
31/12/2020,7531.529785,7531.529785,7376.330078,7376.330078,7376.330078,8261900,256,2020,12,31,3
04/01/2021,7390.529785,7601.910156,7390.529785,7493.569824,7493.569824,28005200,257,2021,1,4,0
05/01/2021,7498.310059,7502.509766,7335.879883,7384.140137,7384.140137,31955300,258,2021,1,5,1
06/01/2021,7383.740234,7739.959961,7383.740234,7713.540039,7713.540039,28846500,259,2021,1,6,2
07/01/2021,7723.009766,7814.899902,7705.549805,7760.069824,7760.069824,25490000,260,2021,1,7,3
08/01/2021,7760.799805,7834.77002,7700.649902,7700.649902,7700.649902,22662600,261,2021,1,8,4
11/01/2021,7700.509766,7750.180176,7618.540039,7646.680176,7646.680176,32516600,262,2021,1,11,0
12/01/2021,7641.950195,7697.040039,7637.549805,7667.97998,7667.97998,18633400,263,2021,1,12,1
13/01/2021,7670.459961,7695.819824,7565.689941,7565.689941,7565.689941,34026200,264,2021,1,13,2
14/01/2021,7565.689941,7604.100098,7528.450195,7571.080078,7571.080078,25180200,265,2021,1,14,3
15/01/2021,7555.109863,7566.109863,7478.370117,7523.410156,7523.410156,47820000,266,2021,1,15,4
18/01/2021,7524.259766,7528.009766,7437.240234,7445.339844,7445.339844,12907100,267,2021,1,18,0
19/01/2021,7445.899902,7508.850098,7441.240234,7446.47998,7446.47998,18531900,268,2021,1,19,1
